# time(s)	left	right
0.000000	1.200861	6.280000
0.010010	1.286570	6.280000
0.020020	1.406139	6.280000
0.030030	1.522580	6.280000
0.040040	1.635932	6.280000
0.050050	1.746240	6.280000
0.060060	1.853547	6.280000
0.070070	1.957896	6.280000
0.080080	2.059333	6.280000
0.090090	2.157904	6.280000
0.100100	2.253654	6.280000
0.110110	2.346629	6.280000
0.120120	2.436875	6.279999
0.130130	2.524437	6.279999
0.140140	2.609361	6.279999
0.150150	2.691693	6.279998
0.160160	2.771476	6.279996
0.170170	2.848701	6.270946
0.180180	2.923222	6.236570
0.190190	2.994971	6.202436
0.200200	3.064043	6.168608
0.210210	3.130532	6.135134
0.220220	3.194528	6.102057
0.230230	3.256121	6.069415
0.240240	3.315397	6.037240
0.250250	3.372441	6.005562
0.260260	3.427336	5.974404
0.270270	3.480161	5.943789
0.280280	3.530993	5.913733
0.290290	3.579908	5.884251
0.300300	3.626978	5.855356
0.310310	3.672273	5.827056
0.320320	3.715860	5.799357
0.330330	3.757807	5.772266
0.340340	3.798174	5.745785
0.350350	3.837024	5.719915
0.360360	3.874414	5.694655
0.370370	3.910401	5.670003
0.380380	3.945040	5.645957
0.390390	3.978383	5.622513
0.400400	4.010479	5.599664
0.410410	4.041378	5.577405
0.420420	4.071125	5.555729
0.430430	4.099765	5.534628
0.440440	4.127342	5.514094
0.450450	4.153896	5.494118
0.460460	4.179467	5.474691
0.470470	4.204093	5.455803
0.480480	4.227810	5.437445
0.490490	4.250653	5.419606
0.500501	4.272657	5.402276
0.510511	4.293853	5.385445
0.520521	4.314272	5.369101
0.530531	4.333944	5.353234
0.540541	4.352898	5.337833
0.550551	4.371161	5.322888
0.560561	4.388760	5.308387
0.570571	4.405719	5.294320
0.580581	4.422063	5.280677
0.590591	4.437815	5.267446
0.600601	4.452998	5.254617
0.610611	4.467633	5.242179
0.620621	4.481740	5.230123
0.630631	4.495341	5.218438
0.640641	4.508452	5.207115
0.650651	4.521094	5.196143
0.660661	4.533283	5.185512
0.670671	4.545036	5.175214
0.680681	4.556369	5.165238
0.690691	4.567298	5.155577
0.700701	4.577839	5.146220
0.710711	4.588004	5.137159
0.720721	4.597809	5.128386
0.730731	4.607266	5.119891
0.740741	4.616388	5.111668
0.750751	4.625188	5.103707
0.760761	4.633676	5.096001
0.770771	4.641865	5.088543
0.780781	4.649766	5.081325
0.790791	4.657389	5.074339
0.800801	4.664743	5.067579
0.810811	4.671839	5.061038
0.820821	4.678687	5.054708
0.830831	4.685294	5.048584
0.840841	4.691670	5.042660
0.850851	4.697823	5.036928
0.860861	4.703761	5.031383
0.870871	4.709492	5.026019
0.880881	4.715023	5.020831
0.890891	4.720361	5.015813
0.900901	4.725513	5.010959
0.910911	4.730486	5.006265
0.920921	4.735287	5.001724
0.930931	4.739920	4.997334
0.940941	4.744393	4.993088
0.950951	4.748710	4.988982
0.960961	4.752878	4.985011
0.970971	4.756902	4.981172
0.980981	4.760786	4.977459
0.990991	4.764536	4.973870
1.001001	4.768157	4.970399
1.011011	4.771652	4.967043
1.021021	4.775027	4.963799
1.031031	4.778286	4.960663
1.041041	4.781432	4.957630
1.051051	4.784469	4.954699
1.061061	4.787402	4.951865
1.071071	4.790235	4.949125
1.081081	4.792969	4.946477
1.091091	4.795610	4.943917
1.101101	4.798160	4.941442
1.111111	4.800622	4.939050
1.121121	4.803000	4.936738
1.131131	4.805296	4.934503
1.141141	4.807513	4.932342
1.151151	4.809655	4.930254
1.161161	4.811723	4.928236
1.171171	4.813720	4.926285
1.181181	4.815649	4.924400
1.191191	4.817511	4.922578
1.201201	4.819310	4.920817
1.211211	4.821047	4.919115
1.221221	4.822725	4.917470
1.231231	4.824346	4.915880
1.241241	4.825911	4.914343
1.251251	4.827423	4.912858
1.261261	4.828883	4.911423
1.271271	4.830293	4.910036
1.281281	4.831655	4.908696
1.291291	4.832971	4.907401
1.301301	4.834241	4.906149
1.311311	4.835469	4.904939
1.321321	4.836654	4.903770
1.331331	4.837799	4.902641
1.341341	4.838905	4.901549
1.351351	4.839973	4.900494
1.361361	4.841005	4.899475
1.371371	4.842002	4.898490
1.381381	4.842965	4.897538
1.391391	4.843895	4.896618
1.401401	4.844793	4.895729
1.411411	4.845661	4.894870
1.421421	4.846499	4.894040
1.431431	4.847309	4.893238
1.441441	4.848091	4.892463
1.451451	4.848847	4.891715
1.461461	4.849577	4.890991
1.471471	4.850282	4.890292
1.481481	4.850963	4.889616
1.491491	4.851621	4.888963
1.501502	4.852256	4.888332
1.511512	4.852871	4.887723
1.521522	4.853464	4.887134
1.531532	4.854037	4.886565
1.541542	4.854590	4.886015
1.551552	4.855125	4.885483
1.561562	4.855642	4.884970
1.571572	4.856141	4.884474
1.581582	4.856623	4.883994
1.591592	4.857089	4.883531
1.601602	4.857539	4.883083
1.611612	4.857974	4.882651
1.621622	4.858394	4.882233
1.631632	4.858800	4.881829
1.641642	4.859192	4.881439
1.651652	4.859570	4.881062
1.661662	4.859936	4.880697
1.671672	4.860290	4.880345
1.681682	4.860632	4.880005
1.691692	4.860962	4.879676
1.701702	4.861281	4.879358
1.711712	4.861589	4.879051
1.721722	4.861886	4.878755
1.731732	4.862174	4.878468
1.741742	4.862452	4.878191
1.751752	4.862721	4.877923
1.761762	4.862980	4.877665
1.771772	4.863231	4.877415
1.781782	4.863473	4.877173
1.791792	4.863707	4.876939
1.801802	4.863934	4.876714
1.811812	4.864152	4.876496
1.821822	4.864363	4.876285
1.831832	4.864568	4.876081
