# time(s)	u_left	u_right	x_opt	y_opt
0.000000	2.847921	6.279997	0.000000	0.000000
0.032000	3.004102	6.279999	0.014358	0.000229
0.064000	3.236116	6.279999	0.029004	0.000913
0.096000	3.450335	6.279998	0.043972	0.002044
0.128000	3.647851	6.279998	0.059225	0.003606
0.160000	3.829702	6.279998	0.074727	0.005584
0.192000	3.996868	6.279997	0.090449	0.007961
0.224000	4.150270	6.279997	0.106363	0.010718
0.256000	4.290768	6.279996	0.122443	0.013838
0.288000	4.419160	6.279994	0.138667	0.017303
0.320000	4.536186	6.279991	0.155014	0.021096
0.352000	4.642528	6.279981	0.171466	0.025200
0.384000	4.738804	6.279001	0.188004	0.029597
0.416000	4.825268	6.217194	0.204567	0.034257
0.448000	4.902423	6.156550	0.221099	0.039144
0.480000	4.971282	6.101087	0.237594	0.044233
0.512000	5.032775	6.050464	0.254052	0.049503
0.544000	5.087722	6.004334	0.270473	0.054937
0.576000	5.136849	5.962360	0.286858	0.060516
0.608000	5.180795	5.924215	0.303209	0.066227
0.640000	5.220129	5.889586	0.319526	0.072055
0.672000	5.255350	5.858180	0.335813	0.077989
0.704000	5.286904	5.829719	0.352071	0.084017
0.736000	5.315184	5.803946	0.368302	0.090130
0.768000	5.340540	5.780623	0.384508	0.096319
0.800000	5.363284	5.759528	0.400690	0.102576
0.832000	5.383690	5.740458	0.416852	0.108895
0.864000	5.402005	5.723226	0.432993	0.115269
0.896000	5.418448	5.707661	0.449117	0.121693
0.928000	5.433215	5.693607	0.465224	0.128161
0.960000	5.446478	5.680920	0.481316	0.134669
0.992000	5.458394	5.669472	0.497394	0.141213
1.024000	5.469103	5.659143	0.513460	0.147790
1.056000	5.478727	5.649826	0.529514	0.154395
1.088000	5.487378	5.641423	0.545559	0.161027
1.120000	5.495156	5.633847	0.561593	0.167682
1.152000	5.502150	5.627017	0.577620	0.174358
1.184000	5.508439	5.620860	0.593639	0.181053
1.216000	5.514096	5.615311	0.609650	0.187766
1.248000	5.519184	5.610311	0.625656	0.194493
1.280000	5.523761	5.605804	0.641656	0.201235
1.312000	5.527879	5.601744	0.657650	0.207989
1.344000	5.531583	5.598086	0.673640	0.214754
1.376000	5.534917	5.594790	0.689626	0.221529
1.408000	5.537916	5.591821	0.705608	0.228314
1.440000	5.540615	5.589147	0.721587	0.235106
1.472000	5.543044	5.586738	0.737562	0.241906
1.504000	5.545230	5.584568	0.753535	0.248712
1.536000	5.547197	5.582614	0.769505	0.255525
1.568000	5.548968	5.580855	0.785473	0.262342
1.600000	5.550561	5.579270	0.801439	0.269165
1.632000	5.551995	5.577842	0.817403	0.275992
1.664000	5.553287	5.576557	0.833366	0.282822
1.696000	5.554449	5.575399	0.849327	0.289657
1.728000	5.555495	5.574357	0.865286	0.296494
1.760000	5.556436	5.573418	0.881244	0.303334
1.792000	5.557284	5.572573	0.897202	0.310177
1.824000	5.558047	5.571812	0.913158	0.317022
1.856000	5.558734	5.571127	0.929113	0.323870
1.888000	5.559352	5.570510	0.945068	0.330719
1.920000	5.559909	5.569954	0.961022	0.337570
1.952000	5.560410	5.569454	0.976975	0.344422
1.984000	5.560861	5.569004	0.992928	0.351276
2.016000	5.561267	5.568598	1.008880	0.358130
2.048000	5.561633	5.568233	1.024832	0.364986
2.080000	5.561962	5.567904	1.040783	0.371843
2.112000	5.562258	5.567608	1.056734	0.378701
2.144000	5.562525	5.567342	1.072684	0.385560
2.176000	5.562765	5.567102	1.088634	0.392419
2.208000	5.562981	5.566886	1.104584	0.399280
2.240000	5.563176	5.566691	1.120534	0.406140
2.272000	5.563351	5.566516	1.136483	0.413001
2.304000	5.563509	5.566358	1.152432	0.419863
2.336000	5.563651	5.566216	1.168381	0.426725
2.368000	5.563779	5.566088	1.184330	0.433588
2.400000	5.563894	5.565973	1.200279	0.440451
2.432000	5.563998	5.565870	1.216227	0.447314
2.464000	5.564091	5.565777	1.232176	0.454177
2.496000	5.564175	5.565693	1.248124	0.461041
2.528000	5.564251	5.565617	1.264072	0.467905
2.560000	5.564319	5.565549	1.280021	0.474769
2.592000	5.564380	5.565488	1.295969	0.481633
2.624000	5.564435	5.565432	1.311917	0.488498
2.656000	5.564485	5.565383	1.327865	0.495362
2.688000	5.564530	5.565338	1.343812	0.502227
2.720000	5.564570	5.565298	1.359760	0.509092
2.752000	5.564606	5.565261	1.375708	0.515957
2.784000	5.564639	5.565229	1.391656	0.522822
2.816000	5.564668	5.565199	1.407604	0.529687
2.848000	5.564695	5.565173	1.423551	0.536552
2.880000	5.564719	5.565149	1.439499	0.543418
2.912000	5.564740	5.565128	1.455446	0.550283
2.944000	5.564760	5.565108	1.471394	0.557149
2.976000	5.564777	5.565091	1.487342	0.564014
3.008000	5.564793	5.565075	1.503289	0.570880
3.040000	5.564807	5.565061	1.519237	0.577745
3.072000	5.564819	5.565049	1.535184	0.584611
3.104000	5.564831	5.565037	1.551132	0.591477
3.136000	5.564841	5.565027	1.567079	0.598342
3.168000	5.564850	5.565018	1.583026	0.605208
3.200000	5.564859	5.565009	1.598974	0.612074
3.232000	5.564866	5.565002	1.614921	0.618940
3.264000	5.564873	5.564995	1.630869	0.625805
3.296000	5.564879	5.564989	1.646816	0.632671
3.328000	5.564885	5.564983	1.662764	0.639537
3.360000	5.564889	5.564979	1.678711	0.646403
3.392000	5.564894	5.564974	1.694658	0.653269
3.424000	5.564898	5.564970	1.710606	0.660135
3.456000	5.564901	5.564966	1.726553	0.667001
3.488000	5.564905	5.564963	1.742501	0.673866
3.520000	5.564908	5.564960	1.758448	0.680732
3.552000	5.564910	5.564958	1.774395	0.687598
3.584000	5.564913	5.564955	1.790343	0.694464
3.616000	5.564915	5.564953	1.806290	0.701330
3.648000	5.564917	5.564951	1.822237	0.708196
3.680000	5.564918	5.564950	1.838185	0.715062
3.712000	5.564920	5.564948	1.854132	0.721928
3.744000	5.564921	5.564947	1.870080	0.728794
3.776000	5.564923	5.564945	1.886027	0.735660
3.808000	5.564924	5.564944	1.901974	0.742526
3.840000	5.564925	5.564943	1.917922	0.749392
3.872000	5.564926	5.564942	1.933869	0.756258
3.904000	5.564927	5.564942	1.949816	0.763124
3.936000	5.564927	5.564941	1.965764	0.769990
3.968000	5.564928	5.564940	1.981711	0.776856
4.000000	5.564929	5.564940	1.997658	0.783722
4.032000	5.564929	5.564939	2.013606	0.790588
4.064000	5.564930	5.564939	2.029553	0.797454
4.096000	5.564930	5.564938	2.045501	0.804319
4.128000	5.564931	5.564938	2.061448	0.811185
4.160000	5.564931	5.564937	2.077395	0.818051
4.192000	5.564931	5.564937	2.093343	0.824917
4.224000	5.564932	5.564937	2.109290	0.831783
4.256000	5.564932	5.564937	2.125237	0.838649
4.288000	5.564932	5.564936	2.141185	0.845515
4.320000	5.564932	5.564936	2.157132	0.852381
4.352000	5.564932	5.564936	2.173079	0.859247
4.384000	5.564933	5.564936	2.189027	0.866113
4.416000	5.564933	5.564936	2.204974	0.872979
4.448000	5.564933	5.564935	2.220921	0.879845
4.480000	5.564933	5.564935	2.236869	0.886711
4.512000	5.564933	5.564935	2.252816	0.893577
4.544000	5.564933	5.564935	2.268763	0.900443
4.576000	5.564933	5.564935	2.284711	0.907309
4.608000	5.564933	5.564935	2.300658	0.914175
4.640000	5.564934	5.564935	2.316605	0.921041
4.672000	5.564934	5.564935	2.332553	0.927907
4.704000	5.564934	5.564935	2.348500	0.934773
